"Plot Title: surf UPH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641369, SEN S/N: 20641369, LBL: 0 m)","Intensity, Lux (LGR S/N: 20641369, SEN S/N: 20641369, LBL: 0 m)"
1,06/24/20 05:00:00 PM,12.304,22044.6
2,06/24/20 05:30:00 PM,12.207,12400.1
3,06/24/20 06:00:00 PM,10.846,3272.2
4,06/24/20 06:30:00 PM,11.236,753.5
5,06/24/20 07:00:00 PM,11.916,1237.9
6,06/24/20 07:30:00 PM,11.041,107.6
7,06/24/20 08:00:00 PM,10.161,505.9
8,06/24/20 08:30:00 PM,10.161,2066.7
9,06/24/20 09:00:00 PM,10.259,1313.2
10,06/24/20 09:30:00 PM,10.161,10.8
11,06/24/20 10:00:00 PM,10.553,0.0
12,06/24/20 10:30:00 PM,10.455,0.0
13,06/24/20 11:00:00 PM,10.259,0.0
14,06/24/20 11:30:00 PM,10.161,0.0
15,06/25/20 12:00:00 AM,10.063,0.0
16,06/25/20 12:30:00 AM,9.866,0.0
17,06/25/20 01:00:00 AM,9.768,0.0
18,06/25/20 01:30:00 AM,9.669,0.0
19,06/25/20 02:00:00 AM,9.669,0.0
20,06/25/20 02:30:00 AM,9.472,0.0
21,06/25/20 03:00:00 AM,9.373,0.0
22,06/25/20 03:30:00 AM,9.176,0.0
23,06/25/20 04:00:00 AM,9.077,0.0
24,06/25/20 04:30:00 AM,8.978,0.0
25,06/25/20 05:00:00 AM,8.779,0.0
26,06/25/20 05:30:00 AM,8.879,10.8
27,06/25/20 06:00:00 AM,8.680,290.6
28,06/25/20 06:30:00 AM,8.581,538.2
29,06/25/20 07:00:00 AM,8.481,775.0
30,06/25/20 07:30:00 AM,8.382,1011.8
31,06/25/20 08:00:00 AM,9.472,46844.8
32,06/25/20 08:30:00 AM,9.768,22044.6
33,06/25/20 09:00:00 AM,11.431,3100.0
34,06/25/20 09:30:00 AM,9.176,1377.8
35,06/25/20 10:00:00 AM,9.077,1808.3
36,06/25/20 10:30:00 AM,9.077,3788.9
37,06/25/20 11:00:00 AM,9.275,3616.7
38,06/25/20 11:30:00 AM,8.779,3961.1
39,06/25/20 12:00:00 PM,9.077,3100.0
40,06/25/20 12:30:00 PM,9.176,2152.8
41,06/25/20 01:00:00 PM,9.472,2152.8
42,06/25/20 01:30:00 PM,9.768,4822.3
43,06/25/20 02:00:00 PM,10.063,17911.2
44,06/25/20 02:30:00 PM,10.748,5166.7
45,06/25/20 03:00:00 PM,10.553,77156.1
46,06/25/20 03:30:00 PM,11.139,24800.2
47,06/25/20 04:00:00 PM,12.110,16533.4
48,06/25/20 04:30:00 PM,11.819,13089.0
49,06/25/20 05:00:00 PM,11.139,4822.3
50,06/25/20 05:30:00 PM,11.916,15844.5
51,06/25/20 06:00:00 PM,11.819,66133.8
52,06/25/20 06:30:00 PM,11.722,7577.8
53,06/25/20 07:00:00 PM,11.431,12400.1
54,06/25/20 07:30:00 PM,11.431,63378.2
55,06/25/20 08:00:00 PM,10.553,1205.6
56,06/25/20 08:30:00 PM,11.916,688.9
57,06/25/20 09:00:00 PM,12.013,161.5
58,06/25/20 09:30:00 PM,10.944,32.3
59,06/25/20 10:00:00 PM,10.553,0.0
60,06/25/20 10:30:00 PM,10.455,0.0
61,06/25/20 11:00:00 PM,10.161,0.0
62,06/25/20 11:30:00 PM,10.063,0.0
63,06/26/20 12:00:00 AM,9.768,0.0
64,06/26/20 12:30:00 AM,9.669,0.0
65,06/26/20 01:00:00 AM,9.571,0.0
66,06/26/20 01:30:00 AM,9.472,0.0
67,06/26/20 02:00:00 AM,9.472,0.0
68,06/26/20 02:30:00 AM,9.373,0.0
69,06/26/20 03:00:00 AM,9.275,0.0
70,06/26/20 03:30:00 AM,9.077,0.0
71,06/26/20 04:00:00 AM,9.275,0.0
72,06/26/20 04:30:00 AM,9.275,0.0
73,06/26/20 05:00:00 AM,9.275,0.0
74,06/26/20 05:30:00 AM,9.275,43.1
75,06/26/20 06:00:00 AM,9.077,301.4
76,06/26/20 06:30:00 AM,9.077,376.7
77,06/26/20 07:00:00 AM,8.978,516.7
78,06/26/20 07:30:00 AM,8.978,699.7
79,06/26/20 08:00:00 AM,9.965,28933.5
80,06/26/20 08:30:00 AM,10.455,6544.5
81,06/26/20 09:00:00 AM,9.669,1377.8
82,06/26/20 09:30:00 AM,9.571,1722.2
83,06/26/20 10:00:00 AM,9.866,2325.0
84,06/26/20 10:30:00 AM,9.472,2238.9
85,06/26/20 11:00:00 AM,9.472,2066.7
86,06/26/20 11:30:00 AM,9.472,1980.6
87,06/26/20 12:00:00 PM,9.669,1894.5
88,06/26/20 12:30:00 PM,9.965,2238.9
89,06/26/20 01:00:00 PM,10.063,1894.5
90,06/26/20 01:30:00 PM,10.259,2066.7
91,06/26/20 02:00:00 PM,10.748,2927.8
92,06/26/20 02:30:00 PM,11.236,4133.4
93,06/26/20 03:00:00 PM,11.625,22044.6
94,06/26/20 03:30:00 PM,12.401,39955.8
95,06/26/20 04:00:00 PM,12.980,18600.1
96,06/26/20 04:30:00 PM,12.980,82667.2
97,06/26/20 05:00:00 PM,12.787,23422.4
98,06/26/20 05:30:00 PM,12.690,15844.5
99,06/26/20 06:00:00 PM,12.690,14466.8
100,06/26/20 06:30:00 PM,11.528,2755.6
101,06/26/20 07:00:00 PM,11.528,10677.8
102,06/26/20 07:30:00 PM,12.690,6544.5
103,06/26/20 08:00:00 PM,12.594,2152.8
104,06/26/20 08:30:00 PM,11.916,1184.0
105,06/26/20 09:00:00 PM,11.722,269.1
106,06/26/20 09:30:00 PM,11.431,21.5
107,06/26/20 10:00:00 PM,11.139,0.0
108,06/26/20 10:30:00 PM,11.139,0.0
109,06/26/20 11:00:00 PM,11.139,0.0
110,06/26/20 11:30:00 PM,10.846,0.0
111,06/27/20 12:00:00 AM,10.553,0.0
112,06/27/20 12:30:00 AM,10.063,0.0
113,06/27/20 01:00:00 AM,9.768,0.0
114,06/27/20 01:30:00 AM,9.373,0.0
115,06/27/20 02:00:00 AM,9.077,0.0
116,06/27/20 02:30:00 AM,10.455,0.0
117,06/27/20 03:00:00 AM,10.846,0.0
