datetime,irr_0,irr_2,irr_4,irr_8
2020-06-24T23:00:00Z,22044.6,22044.6,NA,279.9
2020-06-24T23:30:00Z,12400.1,22044.6,NA,161.5
2020-06-25T00:00:00Z,3272.2,3961.1,NA,161.5
2020-06-25T00:30:00Z,753.5,1377.8,NA,53.8
2020-06-25T01:00:00Z,1237.9,2152.8,NA,107.6
2020-06-25T01:30:00Z,107.6,236.8,NA,0
2020-06-25T02:00:00Z,505.9,226,NA,0
2020-06-25T02:30:00Z,2066.7,1636.1,NA,64.6
2020-06-25T03:00:00Z,1313.2,667.4,NA,10.8
2020-06-25T03:30:00Z,10.8,32.3,NA,0
2020-06-25T04:00:00Z,0,0,NA,0
2020-06-25T04:30:00Z,0,0,NA,0
2020-06-25T05:00:00Z,0,0,NA,0
2020-06-25T05:30:00Z,0,0,NA,0
2020-06-25T06:00:00Z,0,0,NA,0
2020-06-25T06:30:00Z,0,0,NA,0
2020-06-25T07:00:00Z,0,0,NA,0
2020-06-25T07:30:00Z,0,0,NA,0
2020-06-25T08:00:00Z,0,0,NA,0
2020-06-25T08:30:00Z,0,0,NA,0
2020-06-25T09:00:00Z,0,0,NA,0
2020-06-25T09:30:00Z,0,0,NA,0
2020-06-25T10:00:00Z,0,0,NA,0
2020-06-25T10:30:00Z,0,0,NA,0
2020-06-25T11:00:00Z,0,0,NA,0
2020-06-25T11:30:00Z,10.8,10.8,NA,0
2020-06-25T12:00:00Z,290.6,258.3,NA,0
2020-06-25T12:30:00Z,538.2,527.4,NA,10.8
2020-06-25T13:00:00Z,775,807.3,NA,10.8
2020-06-25T13:30:00Z,1011.8,925.7,NA,21.5
2020-06-25T14:00:00Z,46844.8,8266.7,NA,75.3
2020-06-25T14:30:00Z,22044.6,3444.5,NA,161.5
2020-06-25T15:00:00Z,3100,2669.5,NA,419.8
2020-06-25T15:30:00Z,1377.8,3100,NA,150.7
2020-06-25T16:00:00Z,1808.3,4133.4,NA,236.8
2020-06-25T16:30:00Z,3788.9,6544.5,NA,204.5
2020-06-25T17:00:00Z,3616.7,7577.8,NA,344.4
2020-06-25T17:30:00Z,3961.1,3788.9,NA,107.6
2020-06-25T18:00:00Z,3100,35822.5,NA,312.2
2020-06-25T18:30:00Z,2152.8,18600.1,NA,366
2020-06-25T19:00:00Z,2152.8,19977.9,NA,344.4
2020-06-25T19:30:00Z,4822.3,28933.5,NA,398.3
2020-06-25T20:00:00Z,17911.2,44089.2,NA,785.8
2020-06-25T20:30:00Z,5166.7,31689.1,NA,645.8
2020-06-25T21:00:00Z,77156.1,26178,NA,775
2020-06-25T21:30:00Z,24800.2,66133.8,NA,839.6
2020-06-25T22:00:00Z,16533.4,27555.7,NA,1550
2020-06-25T22:30:00Z,13089,13777.9,NA,2755.6
